,title,description,originallink,link,pubDate
0,"위너 강승윤 거리 데이트 목격담, 열애설로 확산",<b>위너</b> 멤버 강승윤의 데이트 목격담이 확산하면서 열애설로 이어지고 있다. 강승윤에 대한 목격담은 지난... <b>위너</b> 데뷔 8주년을 맞은 강승윤의 연애도 지지한다는 팬들의 행렬이다. 강승윤이 공개 열애를 한 적은 없다.... ,http://sports.khan.co.kr/news/sk_index.html?art_id=202208181017003&sec_id=540101&pt=nv,https://n.news.naver.com/mnews/article/144/0000831644?sid=106,"Thu, 18 Aug 2022 10:18:00 +0900"
1,"“당당하게 손잡고 데이트”…'위너' 강승윤, 신인 여배우와 핑크빛 열애설♥",그룹 &apos;<b>위너</b>&apos; 강승윤이 한 여성과 손을 잡고 다니는 모습이 포착됐다. 지난 17일 한 트위터 계정에 강승윤과 한 여성이 손을 잡고 걸어가는 모습이 담긴 사진이 올라왔다. 그의 팬이 탈덕(팬을 그만두는 것)하면서 올린... ,https://www.wikitree.co.kr/articles/781395,https://www.wikitree.co.kr/articles/781395,"Thu, 18 Aug 2022 10:12:00 +0900"
2,문소리·오정세에 송민호까지 '서울대작전' 풀파워 앙상블,"이와 함께 보이그룹 <b>위너</b>, 아티스트 MINO로 음악적 능력은 물론 천부적인 예능감을 뽐낸 송민호가 &apos;서울대작전&apos; 갈치 역으로 첫 연기에 도전한다. 상계동 슈프림팀과 한 동네에서 나고 자라, 유독 동욱에게 질투심을... ",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12071288,https://n.news.naver.com/mnews/article/437/0000310294?sid=106,"Thu, 18 Aug 2022 07:49:00 +0900"
3,"“고맙고 사랑해” 위너, 8주년에도 뜨거운 형제들 [종합]","그룹 <b>위너</b>가 데뷔 8주년을 맞이해 팬들에게 고마움을 표했다. 지난 2014년 데뷔한 <b>위너</b>는 데뷔곡 ‘공허해&apos;를 시작으로 &apos;BABY BABY&apos;, &apos;REALLY REALLY&apos;, &apos;LOVE ME LOVE ME&apos;, &apos;EVERYDAY&apos;, &apos;MILLIONS&apos;, &apos;AH YEAH&apos;, &apos;뜸&apos;, ‘Remember&apos;까지... ",http://www.osen.co.kr/article/G1111921186,https://n.news.naver.com/mnews/article/109/0004680223?sid=106,"Wed, 17 Aug 2022 20:51:00 +0900"
4,"셀러비, 아이키와 훅 맴버 총출동…’우리동네챌린지’ 공개","또한 숏폼제작을 위해 함께 출연하는 이승훈의 그룹인 <b>위너</b>(WINNER)의 신곡 ‘I LOVE U’를 이용하였고, 16분만에 안무가 완성될 만큼 숏폼 고수다운 모습을 보여주며 훅만의 느낌으로 재 해석했다. 더불어 웹툰 작가... ",https://tenasia.hankyung.com/topic/article/2022081798324,https://n.news.naver.com/mnews/article/312/0000564418?sid=106,"Wed, 17 Aug 2022 17:17:00 +0900"
5,"셀러비, 아이키와 훅 맴버 총출동 ’우리동네챌린지’ 진행","또한 숏폼제작을 위해 함께 출연하는 이승훈의 그룹인 <b>위너</b>(WINNER)의 신곡 ‘I LOVE U’를 이용하였고, 16분만에 안무가 완성될 만큼 숏폼 고수다운 모습을 보여주며 훅만의 느낌으로 재 해석했다. 더불어 웹툰 작가... ",http://www.fashionbiz.co.kr/TN/?cate=2&recom=2&idx=194386,http://www.fashionbiz.co.kr/TN/?cate=2&recom=2&idx=194386,"Wed, 17 Aug 2022 16:38:00 +0900"
6,"셀러비, 아이키와 훅(HOOK) 멤버 총출동한 '우리동네챌린지' 공개","또한 숏폼제작을 위해 함께 출연하는 이승훈의 그룹인 <b>위너</b>(WINNER)의 신곡 &apos;I LOVE U&apos;를 이용하였고, 16분만에 안무가 완성될 만큼 숏폼 고수다운 모습을 보여주며 훅만의 느낌으로 재 해석했다. 더불어 웹툰 작가 &apos;지민... ",http://www.nextdaily.co.kr/news/articleView.html?idxno=208807,http://www.nextdaily.co.kr/news/articleView.html?idxno=208807,"Wed, 17 Aug 2022 15:50:00 +0900"
7,"셀러비, 아이키와 훅 맴버 총출동한 '우리동네챌린지' 공개","숏폼제작을 위해 함께 출연하는 이승훈의 그룹인 <b>위너</b>의 신곡 &apos;I LOVE U&apos;를 이용했고, 훅만의 느낌으로 재 해석했다. 더불어 웹툰 작가 &apos;지민&apos;과의 컬래버를 통해 한층 강화된 퀄리티의 숏폼이 탄생했다고 회사 측은... ",http://www.asiaa.co.kr/news/articleView.html?idxno=95815,http://www.asiaa.co.kr/news/articleView.html?idxno=95815,"Wed, 17 Aug 2022 15:32:00 +0900"
8,"고디자인, '알피니언 X-CUBE 초음파진단기' K-디자인 어워드서 골드 위너 수상",골드 <b>위너</b>에 선정됐다. K-디자인 어워드는 아시아 디자인 프라이즈(Asia Design Prize)와 함께 아시아를... 이 중 골드 <b>위너</b>(GOLD WINNER)는 출품작 중 3%에 해당되는 상이다. 일진그룹 초음파 의료기기 전문기업 알피니언... ,http://www.biotimes.co.kr/news/articleView.html?idxno=8508,http://www.biotimes.co.kr/news/articleView.html?idxno=8508,"Wed, 17 Aug 2022 15:04:00 +0900"
9,[스타서베이] 8월 3주차 남녀 가수·배우·아이돌 '브랜드 파워' 투표 시작…...,"엑소, <b>위너</b>, 있지, 드림캐쳐 등 57팀이 후보다. 앞서 진행된 &apos;8월 2주차 아이돌 그룹 브랜드 파워 랭킹&apos; 투표에서는 그룹 라포엠이 240,360표를 받으며 1위를 차지했다. 라포엠은 JTBC &apos;팬텀싱어3&apos;에서 우승을 차지한 팀이다.... ",http://www.topstarnews.net/news/articleView.html?idxno=14721983,http://www.topstarnews.net/news/articleView.html?idxno=14721983,"Wed, 17 Aug 2022 15:02:00 +0900"
