,title,description,originallink,link,pubDate
0,"KT, 크루디 전격 공개","KT 커스터머DX사업단 박정호 상무는 &quot;<b>코로나</b>19로 온라인 기반의 교육은 이제 새로운 교육 패러다임으로 자리 잡았으며, 지금보다 발전된 온라인 학습의 &apos;새로운 표준&apos;이 필요한 시점이다&quot;라며 &quot;KT가 보유한 AI 기반의... ",https://www.econovill.com/news/articleView.html?idxno=586257,https://www.econovill.com/news/articleView.html?idxno=586257,"Thu, 18 Aug 2022 10:16:00 +0900"
1,<b>코로나</b> &apos;6차 유행&apos; 진단업계 실적반등 기대,18일 방역당국에 따르면 이날 국내 신규 <b>코로나</b>19 확진자는 17만8574명으로 집계됐다. 4월 이후 최대치를... 식약처는 이미 지난달 <b>코로나</b>19 확산세가 커지자 자가검사키트의 판매처를 모든 편의점으로 확대한 상태다.... ,https://www.ebn.co.kr/news/view/1542919/?sc=Naver,https://www.ebn.co.kr/news/view/1542919/?sc=Naver,"Thu, 18 Aug 2022 10:16:00 +0900"
2,[尹정부 100일 특별기고]③정치 총체적 난국 극복할 통합의 리더십을,"대외적으로는 <b>코로나</b>와 세계적인 경제침체, 우크라이나 전쟁 등으로 3고(고물가·고금리·고환율)의 파고가 덮쳐왔다. 대내적으로는 여소야대의 의회권력으로 반쪽자리 정권교체에 불과했다. 하지만 이 모든 것이 취임... ",https://www.ekn.kr/web/view.php?key=20220818010003124,https://www.ekn.kr/web/view.php?key=20220818010003124,"Thu, 18 Aug 2022 10:16:00 +0900"
3,"속초시, 어린이집 통학버스 운전자 등 안전교육 개최","이날 교육은 사례위주의 통학버스 안전사고와 개정된 도로교통법 등 사)안전교육운동본부 김홍빈 강사의 진행으로 실시할 계획이며 <b>코로나</b> 확산 방지를 위해 온라인으로 개최한다. 한편, 속초시는 올해 어린이집... ",https://www.gukjenews.com/news/articleView.html?idxno=2531317,https://www.gukjenews.com/news/articleView.html?idxno=2531317,"Thu, 18 Aug 2022 10:16:00 +0900"
4,"[EE칼럼] 해외자원개발, 원자재 가격 하락한 지금이 적기다","세계 최대 원자재 생산국이면서 소비국인 중국은 올 상반기 <b>코로나</b> 재확산으로 인해 경제활동이 얼어 붙었고 미국, 독일 등 선진국은 고물가와 금리 인상으로 경기 둔화세가 뚜렷하다. 글로벌 컨설팅 업체인... ",https://www.ekn.kr/web/view.php?key=20220817010002910,https://www.ekn.kr/web/view.php?key=20220817010002910,"Thu, 18 Aug 2022 10:16:00 +0900"
5,신규 확진 17만8574명 ·해외유입 &apos;역대 최고&apos;…하루 사망 60명대(종합),"18일 중앙방역대책본부에 따르면 이날 0시 기준 <b>코로나</b>19 신규 확진자는 17만8574명이다. 이 중 국내... <b>코로나</b>19로 인한 하루 사망자 수는 61명이다. 누적 사망자는 2만5813명, 치명률은 0.12%다. 최근... ",http://www.newstomato.com/ReadNews.aspx?no=1141711&inflow=N,http://www.newstomato.com/ReadNews.aspx?no=1141711&inflow=N,"Thu, 18 Aug 2022 10:16:00 +0900"
6,올해 상반기 국가 재정적자 100조원 돌파…연말까지 110.8조원 적자 예상,"이는 지방교부세, 교부금, <b>코로나</b> 위기 대응사업 등으로 작년보다 19조5000억원의 예산이 더 들었기 때문이다. 소상공인 손실보전금 지급 등으로 기금도 지난해에 비해 35조2000억원이 더 증가했다. 총수입과... ",https://www.sejungilbo.com/news/articleView.html?idxno=38937,https://www.sejungilbo.com/news/articleView.html?idxno=38937,"Thu, 18 Aug 2022 10:16:00 +0900"
7,"KT, 초등 라이브 교육 플랫폼 &apos;크루디&apos; 론칭","KT 커스터머DX사업단 박정호 상무는 &quot;<b>코로나</b>19로 온라인 기반의 교육은 이제 새로운 교육 패러다임으로 자리 잡았으며, 지금보다 발전된 온라인 학습의 &apos;새로운 표준&apos;이 필요한 시점이다&quot;라며 &quot;KT가 보유한 AI 기반의... ",http://www.m-i.kr/news/articleView.html?idxno=943276,http://www.m-i.kr/news/articleView.html?idxno=943276,"Thu, 18 Aug 2022 10:16:00 +0900"
8,"최민호 세종시장, &quot;오는 10월, 세종시가 국제안전도시로 도약하는 계기 만들자...",2년간 <b>코로나</b>19 세계적유행(팬데믹)으로 미뤄져 왔던 행사인 만큼 이번 연차대회가 국제안전도시 간 교류 협력과 학술의 장이 될 수 있도록 남은 기간 동안 행정력을 집중할 예정이다. 또 최근 <b>코로나</b>19 재유행 상황을... ,http://www.newsfreezone.co.kr/news/articleView.html?idxno=401343,http://www.newsfreezone.co.kr/news/articleView.html?idxno=401343,"Thu, 18 Aug 2022 10:16:00 +0900"
9,"2022 서울시민리그 배구대회, 20일 개막…56팀 1120명 참가","2016년 시작된 서울시민리그 배구대회는 <b>코로나</b>19 확산을 피해 2019년 대회를 끝으로 중단됐다가 올해 재개된다. 올해 대회는 남자 대학부 9개, 여자 대학부 10개, 남자 클럽 17개, 여자 클럽 20개 등 총 56개 팀에 1120명이... ",http://www.munhwa.com/news/view.html?no=2022081801039939059002,https://sports.news.naver.com/news.nhn?oid=021&aid=0002526916,"Thu, 18 Aug 2022 10:16:00 +0900"
